reviewer_id,domain,arm,capability_slope_per_week,capability_drop_wk1_4_to_wk21_24,recent_interval_width,recent_deferred_rate,under_reliance_rate,appropriate_skepticism_rate,over_reliance_rate,flag_declining,flag_wide_interval,flag_high_deferred,flag_under_reliant,risk_score,state,intervention,intervention_detail,frequency,stop_condition
C000,code_review,control_always_ai,0.00901,-0.182,0.4857,0.2539,0.1294,0.0443,0.039,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
C001,code_review,blind_first,-0.01301,0.2591,0.3528,0.8571,0.0679,0.0107,0.0839,1,0,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
C002,code_review,withheld_ai,-0.00838,0.1646,0.7134,0.7641,0.0447,0.0244,0.0589,0,1,0,0,1,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
C003,code_review,disagreement_prompt,-0.0195,0.3853,0.8434,0.9133,0.0126,0.0,0.0919,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
C004,code_review,control_always_ai,-0.019,0.3787,0.9136,0.9255,0.0144,0.0018,0.0829,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
C005,code_review,blind_first,-0.0044,0.0875,0.4849,0.5934,0.0632,0.0343,0.0758,0,0,0,0,0,healthy,none,Routine monitoring only; no active intervention.,n/a (passive monitoring via normal handoff refresh),n/a
C006,code_review,withheld_ai,0.01153,-0.2296,0.5143,0.2179,0.1081,0.0609,0.0275,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
C007,code_review,disagreement_prompt,-0.00569,0.1204,0.7088,0.8093,0.0562,0.0141,0.0721,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
C008,code_review,control_always_ai,-0.01448,0.2918,0.7213,0.9223,0.0462,0.0071,0.0817,0,1,1,0,2,watch,forced_blind_cases (light) + disagreement_prompts (targeted),1 forced blind case/week; disagreement prompts only on the lowest-confidence AI band (<0.40) where override is nearly always right. Lighter touch than the full over_reliance_risk tier.,"weekly, reviewed biweekly",Escalate to over_reliance_risk if risk_score reaches 3 at next refresh. Downgrade to healthy (stop) if risk_score <= 1 for 4 consecutive weeks.
C009,code_review,blind_first,0.00159,-0.0279,0.3939,0.4989,0.1229,0.0239,0.0661,0,0,0,1,0,under_reliant,confidence_calibration_feedback,"Show reviewer their own override cases where AI was correct and high-confidence (>=0.75 stated); pair with the calibration curve (out/calibration_curve.csv) so they see the AI is right far more often than its stated confidence implies in the 0.5-0.85 band. NO forced blind cases and NO disagreement prompts -- they already exercise independent judgment; the fix is trust calibration, not more skepticism.",1 feedback packet / 4 weeks (aligned to handoff cadence),"Stop when trailing 4-week under_reliance_rate <= trailing 4-week appropriate_skepticism_rate for 2 consecutive reviews (8 weeks), i.e. their overrides flip from net-harmful to net-helpful."
